,Date,Adj close,Close,High,Low,Open,Volume,%Change,Hurst,IBR,CCI,SMA10,SMA50,SMA100,SMA200,RSI2,RSI5,RSI14,EMA8,EMA20,EMA100,VolumeEMADiff,AdjustedChange,Volatility,ER,Stoch,StochOscilator,ValueCharts,MACDHist,Sell,Buy,OneDayBuy,HoldLong,LongTradeIn,LongTradeOut,DaysInTrade,ProfitableCloses,RollingPnL,TradePnL,TradeEntry,RunningMax,Drawdown,DailyReturn
0,2022-05-10,12349.0,12349.0,12547.0,12102.25,12206.0,853859,,,0.554806070826307,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,15000.0,0.0,0.0,15000.0,0.0,
1,2022-05-11,11969.75,11969.75,12553.25,11938.5,12328.75,865890,-0.09213296623208367,,0.0508336722244815,,,,,,0.0,,,,,,,-0.03071098874402789,,,,,,,False,False,False,False,False,False,0,0,15000.0,0.0,0.0,15000.0,0.0,0.0
2,2022-05-12,11947.25,11947.25,12132.75,11689.0,12004.5,878238,-0.005639215522462715,,0.5819718309859155,,,,,,0.0,,,,,,,-0.0018797385074875717,,,,,,,False,False,False,False,False,False,0,0,15000.0,0.0,0.0,15000.0,0.0,0.0
3,2022-05-13,12382.75,12382.75,12432.0,11891.5,11891.5,663517,0.10935570947289142,,0.9088806660499538,,,,,,80.41546451240623,,,,,,,0.03645190315763047,,,,,,,False,False,False,False,False,False,0,0,15000.0,0.0,0.0,15000.0,0.0,0.0
4,2022-05-16,12244.75,12244.75,12498.75,12190.25,12409.0,623715,-0.03343360723587252,,0.1766612641815235,,,,,,53.26809876920725,50.13122755318169,,,,,,-0.01114453574529084,,,,,0.5019130619619552,,False,False,True,False,False,False,0,0,15000.0,0.0,12244.75,15000.0,0.0,0.0
5,2022-05-17,12560.25,12560.25,12578.0,12234.0,12235.5,653222,0.07729843402274428,,0.9484011627906976,,,,,,81.62774622065939,68.18509369340093,,,,,,0.025766144674248093,0.4343942193804848,,,,3.8468798578725374,,False,False,False,True,False,True,1,1,16159.476510341165,0.07729843402274428,12244.75,16159.476510341165,0.0,0.07729843402274428
6,2022-05-18,11935.5,11935.5,12594.0,11862.75,12572.0,735386,-0.14922075595629058,,0.09948717948717949,,,,,,23.98424598864368,35.960628129088136,,,,,,-0.049740251985430195,0.5380031196922478,,,,-2.9011824324324245,,False,False,False,False,False,False,0,0,16159.476510341165,0.0,0.0,16159.476510341165,0.0,0.0
7,2022-05-19,11878.25,11878.25,12076.75,11704.0,11907.0,827741,-0.014389845419127911,,0.4674714956405097,,,,,,21.235838213562474,34.11388415192586,,12149.094631807146,,,0.08456915204829922,-0.004796615139709304,0.5390054295714989,,,,-3.569329560296046,,False,False,False,False,False,False,0,0,16159.476510341165,0.0,0.0,16159.476510341165,0.0,0.0
8,2022-05-20,11840.75,11840.75,12096.75,11491.25,11898.0,806781,-0.009471092122156133,,0.5772089182493807,,,,,,18.464006743849296,32.73734469885697,,12080.573602516668,,,0.04385901848464442,-0.0031570307073853776,0.4292078780544819,,,,-3.089542760372562,,False,False,False,False,False,False,0,0,16159.476510341165,0.0,0.0,16159.476510341165,0.0,0.0
9,2022-05-23,12035.25,12035.25,12075.5,11783.75,11866.0,660213,0.04927897303802564,,0.8620394173093402,,12114.35,,,,65.36265576942515,46.685103139464964,,12070.501690846297,,,-0.11717972130776143,0.016426324346008547,0.4623221498045917,,,,-0.1537682549834695,,False,False,False,False,False,False,0,0,16159.476510341165,0.0,0.0,16159.476510341165,0.0,0.0
10,2022-05-24,11771.0,11771.0,11918.0,11576.25,11915.0,717429,-0.0658690097837602,,0.5698610095098756,,12056.55,,,,25.503212015563705,34.526402993730855,,12003.94575954712,,,-0.03192223519500366,-0.021956336594586734,0.3936365287895919,0.2341028756581612,,,-1.567434912505331,,False,False,False,False,False,False,0,0,16159.476510341165,0.0,0.0,16159.476510341165,0.0,0.0
11,2022-05-25,11942.25,11942.25,12036.0,11672.0,11808.0,671096,0.04364539971115433,,0.742445054945055,,12053.8,,,,58.39098892370707,45.93322984270623,,11990.235590758872,,,-0.07503005657472724,0.014548466570384777,0.2505345293797978,0.012162759840778416,,,1.2555358724535033,,False,False,False,False,False,False,0,0,16159.476510341165,0.0,0.0,16159.476510341165,0.0,0.0
12,2022-05-26,12279.25,12279.25,12343.0,11848.25,11887.5,611884,0.0846574138039311,,0.8711470439615968,,12087.0,,,,84.80039396789539,62.15286265312688,,12054.461015034678,,,-0.12622636809722182,0.0282191379346437,0.3112327103969853,0.12890700834789362,,,4.7095101894887295,,False,False,False,False,False,False,0,0,16159.476510341165,0.0,0.0,16159.476510341165,0.0,0.0
13,2022-05-27,12677.75,12677.75,12720.25,12222.0,12250.0,615992,0.09735936641081522,,0.9147014550928249,,12116.5,,,,93.92274771692027,73.77960891408351,61.08638325516534,12192.969678360305,,,-0.09618608812858971,0.032453122136938406,0.34063014245707135,0.1162103604490841,96.54190398698128,,8.267395126852549,,False,False,False,False,False,False,0,0,16159.476510341165,0.0,0.0,16159.476510341165,0.0,0.0
14,2022-05-31,12646.5,12646.5,12883.0,12480.0,12705.25,832388,-0.007394845299836472,,0.413151364764268,,12156.675,,,,85.84243280280295,71.62281690861943,60.19333134007767,12293.754194280238,,,0.1640691025047154,-0.002464948433278824,0.3579008747104393,0.16521023953942635,83.00700556852883,,5.669382657309384,,False,False,False,False,False,False,0,0,16159.476510341165,0.0,0.0,16159.476510341165,0.0,0.0
15,2022-06-01,12551.0,12551.0,12823.5,12454.75,12662.5,682211,-0.022654489384414722,,0.26101694915254237,,12155.75,,,,56.25970160183974,64.4281463031549,57.43014459742326,12350.91992888463,,,-0.03610665746436759,-0.007551496461471574,0.28330150381142605,0.004182208658302249,76.14514100952039,-9.086209178823111,2.380798590722259,,False,False,False,False,False,False,0,0,16159.476510341165,0.0,0.0,16159.476510341165,0.0,0.0
16,2022-06-02,12893.75,12893.75,12903.75,12442.5,12549.75,620008,0.08192574296868771,,0.978319783197832,,12251.575,,,,87.40801499433323,75.47875391784137,63.845026679442334,12471.548833576935,,,-0.09917160724381299,0.02730858098956257,0.30147934160253465,0.4965669128125405,99.29203539823008,13.143974739470309,4.286275831087148,,False,False,False,False,False,False,0,0,16159.476510341165,0.0,0.0,16159.476510341165,0.0,0.0
