,Date,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy
0,2022-05-03,4169.25,13087.5,416.3800048828125,4195.75,13183.75,418.92999267578125,4129.0,12968.5,413.3599853515625,4145.5,13051.75,415.010009765625,1678497,662216,100028200.0
1,2022-05-04,4295.25,13531.25,429.05999755859375,4303.0,13555.25,429.6600036621094,4142.75,12883.0,413.7099914550781,4171.25,13121.0,417.0799865722656,1783477,703191,144247900.0
2,2022-05-05,4143.25,12858.0,413.80999755859375,4300.75,13548.0,425.0,4099.25,12705.25,409.44000244140625,4289.75,13500.25,424.54998779296875,2389422,877795,172929100.0
3,2022-05-06,4119.5,12695.75,411.3399963378906,4153.25,12928.75,414.79998779296875,4062.0,12519.0,405.7300109863281,4146.5,12883.25,411.1000061035156,2310919,852234,151770800.0
4,2022-05-09,3987.5,12193.75,398.1700134277344,4099.0,12637.25,406.4100036621094,3970.0,12135.25,396.5,4087.25,12605.0,405.1000061035156,2139992,816033,155586100.0
5,2022-05-10,3996.75,12349.0,399.0899963378906,4065.5,12547.0,406.0799865722656,3953.0,12102.25,394.82000732421875,3993.25,12206.0,404.489990234375,2247750,853859,132497200.0
6,2022-05-11,3930.25,11969.75,392.75,4050.5,12553.25,404.0400085449219,3923.75,11938.5,391.9599914550781,3990.5,12328.75,398.07000732421875,2157244,865890,142361000.0
7,2022-05-12,3927.25,11947.25,392.3399963378906,3961.75,12132.75,395.79998779296875,3855.0,11689.0,385.1499938964844,3939.75,12004.5,389.3699951171875,2380563,878238,125090800.0
8,2022-05-13,4019.75,12382.75,401.7200012207031,4036.0,12432.0,403.17999267578125,3915.5,11891.5,395.6099853515625,3916.25,11891.5,396.7099914550781,1859074,663517,104174400.0
9,2022-05-16,4004.75,12244.75,400.0899963378906,4043.5,12498.75,403.9700012207031,3979.5,12190.25,397.6000061035156,4025.0,12409.0,399.9800109863281,1695198,623715,78622400.0
10,2022-05-17,4084.75,12560.25,408.32000732421875,4091.5,12578.0,408.57000732421875,4000.5,12234.0,402.5799865722656,4002.0,12235.5,406.5299987792969,1716498,653222,83029700.0
11,2022-05-18,3922.75,11935.5,391.8599853515625,4095.0,12594.0,403.79998779296875,3905.5,11862.75,390.54998779296875,4091.25,12572.0,403.5,2202394,735386,117674500.0
12,2022-05-19,3897.75,11878.25,389.4599914550781,3943.5,12076.75,394.1400146484375,3856.0,11704.0,387.1099853515625,3916.5,11907.0,388.6199951171875,2317604,827741,98510700.0
13,2022-05-20,3899.5,11840.75,389.6300048828125,3949.5,12096.75,397.0299987792969,3807.5,11491.25,380.5400085449219,3900.5,11898.0,393.25,2408399,806781,131432200.0
14,2022-05-23,3971.75,12035.25,396.9200134277344,3982.25,12075.5,397.7300109863281,3906.5,11783.75,390.3800048828125,3910.5,11866.0,392.8299865722656,1736162,660213,76414900.0
15,2022-05-24,3940.5,11771.0,393.8900146484375,3954.5,11918.0,395.1499938964844,3872.0,11576.25,386.9599914550781,3951.75,11915.0,392.55999755859375,2017453,717429,91448800.0
16,2022-05-25,3976.75,11942.25,397.3699951171875,3997.75,12036.0,399.45001220703125,3913.5,11672.0,391.8900146484375,3950.0,11808.0,392.30999755859375,1744116,671096,91472900.0
17,2022-05-26,4055.75,12279.25,405.30999755859375,4073.5,12343.0,407.0400085449219,3960.5,11848.25,398.45001220703125,3972.25,11887.5,398.6700134277344,1493132,611884,82168300.0
18,2022-05-27,4155.75,12677.75,415.260009765625,4168.25,12720.25,415.3800048828125,4041.25,12222.0,407.70001220703125,4047.5,12250.0,407.9100036621094,1547507,615992,84768700.0
19,2022-05-31,4131.25,12646.5,412.92999267578125,4202.25,12883.0,416.4599914550781,4102.75,12480.0,410.0299987792969,4164.5,12705.25,413.54998779296875,2222573,832388,95937000.0
20,2022-06-01,4099.0,12551.0,409.5899963378906,4165.0,12823.5,416.239990234375,4071.5,12454.75,406.92999267578125,4138.5,12662.5,415.1700134277344,1912031,682211,86585800.0
21,2022-06-02,4175.25,12893.75,417.3900146484375,4179.0,12903.75,417.44000244140625,4072.25,12442.5,407.0400085449219,4097.75,12549.75,409.4200134277344,1513748,620008,79609600.0
22,2022-06-03,4107.0,12551.0,410.5400085449219,4189.0,12945.25,414.0400085449219,4096.75,12503.0,409.510009765625,4177.75,12896.0,412.3999938964844,1532766,652955,71874300.0
23,2022-06-06,4120.5,12605.0,411.7900085449219,4168.25,12810.0,416.6099853515625,4104.5,12527.0,410.54998779296875,4110.5,12549.75,414.7799987792969,1457918,536936,57508900.0
24,2022-06-07,4158.75,12711.5,415.739990234375,4164.0,12740.25,416.2200012207031,4076.0,12412.5,407.6099853515625,4122.0,12605.25,408.1000061035156,1677883,577970,59272400.0
25,2022-06-08,4114.0,12615.75,411.2200012207031,4160.0,12783.0,415.82000732421875,4105.25,12579.25,410.3800048828125,4150.75,12680.5,413.92999267578125,1706628,583652,64350000.0
26,2022-06-09,4016.25,12275.0,401.44000244140625,4144.25,12726.0,411.739990234375,4014.75,12255.25,401.44000244140625,4116.0,12625.0,409.3399963378906,2024783,690155,86289800.0
27,2022-06-10,3899.0,11840.0,389.79998779296875,4029.5,12338.75,395.7799987792969,3895.25,11823.0,389.75,4025.25,12301.5,394.8800048828125,2117225,617395,132893900.0
28,2022-06-13,3750.5,11296.5,375.0,3876.5,11772.5,381.80999755859375,3732.5,11254.5,373.29998779296875,3870.75,11768.0,379.8500061035156,2155159,530220,170004900.0
29,2022-06-14,3736.75,11314.25,373.8699951171875,3805.0,11505.5,377.94000244140625,3705.25,11205.0,370.5899963378906,3758.25,11334.25,376.8500061035156,1341257,378134,104011800.0
30,2022-06-15,3789.25,11593.75,379.20001220703125,3839.0,11759.25,383.8999938964844,3720.25,11327.75,372.1199951171875,3740.0,11329.75,377.3599853515625,777545,265812,125666800.0
31,2022-06-16,3668.25,11124.75,366.6499938964844,3828.75,11737.75,370.94000244140625,3639.0,11036.75,364.0799865722656,3794.25,11608.5,370.510009765625,544027,146538,134473300.0
32,2022-06-17,3663.760009765625,11130.3896484375,365.8599853515625,3710.75,11290.0,369.3800048828125,3663.760009765625,11130.25,362.1700134277344,3677.5,11178.5,365.510009765625,2207570,731831,111113900.0
34,2022-06-21,3767.75,11577.25,375.07000732421875,3783.75,11678.25,376.5299987792969,3661.5,11273.75,371.80999755859375,3684.0,11332.5,371.8900146484375,1566039,657209,76811900.0
35,2022-06-22,3762.75,11565.75,374.3900146484375,3805.5,11745.75,378.7200012207031,3693.25,11320.5,370.17999267578125,3766.25,11579.75,370.6199951171875,1660579,638960,90059400.0
36,2022-06-23,3799.75,11737.5,378.05999755859375,3805.75,11766.75,378.8299865722656,3735.0,11460.5,372.8900146484375,3761.25,11542.75,376.6400146484375,1607695,630125,79292100.0
37,2022-06-24,3916.25,12140.5,390.0799865722656,3919.75,12148.5,390.0899963378906,3781.25,11684.75,381.3699951171875,3785.25,11687.75,381.3999938964844,1563128,563303,98050300.0
38,2022-06-27,3903.75,12040.5,388.5899963378906,3948.0,12262.0,391.3599853515625,3892.5,11994.25,387.44000244140625,3915.0,12137.5,391.04998779296875,1497368,565803,66009600.0
39,2022-06-28,3825.5,11674.25,380.6499938964844,3950.0,12174.25,393.1600036621094,3821.75,11661.5,380.5299987792969,3911.25,12076.25,390.2300109863281,1791690,634694,86548900.0
40,2022-06-29,3821.25,11691.0,380.3399963378906,3840.0,11749.0,382.2699890136719,3801.25,11564.5,378.4200134277344,3828.25,11680.5,381.2300109863281,1717770,590173,65676000.0
41,2022-06-30,3789.5,11529.5,377.25,3825.0,11696.75,380.6600036621094,3741.25,11351.0,372.55999755859375,3822.75,11691.5,376.239990234375,2394361,738071,112508300.0
