,Date,Open,High,Low,Close,Volume,IBR,CCI,SMA50,SMA200,RSI2,RSI5,EMA8,ER,EMA_100,Stoch,StochAboveSlow,Sell,Buy,LongTradeIn,LongTradeOut,HoldLong,DaysInTrade,ProfitableCloses,RollingPnL,TradePnL,RunningMax,Drawdown
0,2022-04-20,14104.75,14298.0,13956.5,14004.75,604344.0,0.14128843338213762,,,,,,,,14004.75,,False,False,False,False,False,False,0,0,15000.0,0.0,15000.0,0.0
1,2022-04-21,14070.0,14283.0,13667.5,13728.25,685788.0,0.09870024370430544,,,,0.0,,,,13865.1175,,False,False,False,False,False,False,0,0,15000.0,0.0,15000.0,0.0
2,2022-04-22,13720.0,13781.0,13297.0,13353.5,732255.0,0.11673553719008264,,,,0.0,,,,13691.156294790177,,False,False,False,False,False,False,0,0,15000.0,0.0,15000.0,0.0
3,2022-04-25,13334.25,13549.75,13184.0,13535.75,749649.0,0.9617224880382775,,,,41.53846153846154,,,,13651.131482039298,,False,False,False,False,False,False,0,0,15000.0,0.0,15000.0,0.0
4,2022-04-26,13523.5,13583.75,12801.5,13016.0,755330.0,0.274209012464046,,,,12.328767123287676,13.926060071177645,,,13518.973840414472,,False,False,True,True,False,False,0,0,15000.0,0.0,15000.0,0.0
5,2022-04-27,12881.0,13255.25,12878.25,13009.0,817196.0,0.34681697612732093,,,,12.099585062240664,13.810637032209655,,,13429.672336548158,,False,False,True,False,False,True,1,0,14860.0,-140.0,15000.0,140.0
6,2022-04-28,13191.0,13542.0,13033.0,13454.75,756360.0,0.8285854616895875,,,,73.89718566711025,48.07031391173586,,,13433.47335665038,,False,False,False,False,False,True,2,0,23775.0,8775.0,23775.0,0.0
7,2022-04-29,13219.5,13433.0,12831.75,12852.0,723386.0,0.03367983367983368,,,,25.470143548798106,28.752417365482515,13323.34668252084,,13355.600605280859,,False,False,False,False,True,True,3,0,11720.0,-3280.0,23775.0,12055.0
8,2022-05-02,12892.25,13084.5,12709.75,13073.0,763818.0,0.9693128752501667,,,,49.66094110357646,39.83394172380327,13267.714086405098,,13321.630542046607,,False,False,False,False,False,False,0,0,11720.0,0.0,23775.0,12055.0
9,2022-05-03,13051.75,13183.75,12968.5,13087.5,662216.0,0.5528455284552846,,,,51.7173829307214,40.59175435687519,13227.666511648411,,13296.054726898,,False,False,False,False,False,False,0,0,11720.0,0.0,23775.0,12055.0
10,2022-05-04,13121.0,13555.25,12883.0,13531.25,703191.0,0.9642989959092599,,,,86.20659299199849,59.908770204362646,13295.129509059876,0.15333549222797926,13319.637697305981,,False,False,False,False,False,False,0,0,11720.0,0.0,23775.0,12055.0
11,2022-05-05,13500.25,13548.0,12705.25,12858.0,877795.0,0.18125185404924354,,,,27.215915463739478,37.05726926881864,13197.98961815768,0.24973097065786642,13276.796720165965,,False,False,False,False,False,False,0,0,11720.0,0.0,23775.0,12055.0
12,2022-05-06,12883.25,12928.75,12519.0,12695.75,852234.0,0.43136058572300184,,,,20.46581442511014,33.2380213943819,13086.38081412264,0.20100848040339217,13226.542867786908,,False,False,False,False,False,False,0,0,11720.0,0.0,23775.0,12055.0
13,2022-05-09,12605.0,12637.25,12135.25,12193.75,816033.0,0.11653386454183266,,,,8.074110566312314,23.765268907111178,12888.018410984276,0.37360801781737196,13142.802525096573,2.7048896081377873,False,False,True,True,False,False,0,0,11720.0,0.0,23775.0,12055.0
14,2022-05-10,12206.0,12547.0,12102.25,12349.0,853859.0,0.554806070826307,,,,33.12082602344036,31.33082351968808,12768.23654187666,0.2066615027110767,13082.156238073667,11.314914593603119,False,False,False,False,False,True,1,0,14825.0,3105.0,23775.0,8950.0
15,2022-05-11,12328.75,12553.25,11938.5,11969.75,865890.0,0.0508336722244815,,,,14.207748952730583,24.044510409591155,12590.795088126291,0.2887006042086256,13001.721161227688,1.6960651289009498,False,False,True,False,False,True,2,0,7240.0,-4480.0,23775.0,16535.0
16,2022-05-12,12004.5,12132.75,11689.0,11947.25,878238.0,0.5819718309859155,,,,13.30617532656268,23.6368555143748,12447.785068542671,0.47457893908389737,12929.278819933901,13.629766459955139,True,False,False,False,True,True,3,0,6790.0,-4930.0,23775.0,16985.0
17,2022-05-13,11891.5,12432.0,11891.5,12382.75,663517.0,0.9088806660499538,,,,74.91839622609797,45.84930352691725,12433.332831088745,0.15593586441804436,12893.482572082003,36.614329067159254,True,False,False,False,False,False,0,0,6790.0,0.0,23775.0,16985.0
18,2022-05-16,12409.0,12498.75,12190.25,12244.75,623715.0,0.1766612641815235,,,,51.6535643386947,41.11247969663493,12391.425535291246,0.2830414352840666,12852.84900843696,29.778968519758873,True,False,False,False,False,False,0,0,6790.0,0.0,23775.0,16985.0
19,2022-05-17,12235.5,12578.0,12234.0,12560.25,653222.0,0.9484011627906976,-62.6246744334486,,,80.02141536007403,54.53566590181622,12428.942083004302,0.16337438996049267,12835.274743998909,46.68452779638312,True,False,False,False,False,False,0,0,6790.0,0.0,23775.0,16985.0
