Date,Open,High,Low,Close,Adj Close,Volume
2022-04-25,423.6700134277344,428.69000244140625,418.8399963378906,428.510009765625,421.37091064453125,119647700
2022-04-26,425.8299865722656,426.0400085449219,416.07000732421875,416.1000061035156,409.1676940917969,103996300
2022-04-27,417.239990234375,422.9200134277344,415.010009765625,417.2699890136719,410.31817626953125,122030000
2022-04-28,422.2900085449219,429.6400146484375,417.6000061035156,427.80999755859375,420.6825866699219,105449100
2022-04-29,423.5899963378906,425.8699951171875,411.2099914550781,412.0,405.135986328125,145491100
2022-05-02,412.07000732421875,415.9200134277344,405.0199890136719,414.4800109863281,407.5746765136719,158312500
2022-05-03,415.010009765625,418.92999267578125,413.3599853515625,416.3800048828125,409.4430236816406,100028200
2022-05-04,417.0799865722656,429.6600036621094,413.7099914550781,429.05999755859375,421.9117431640625,144247900
2022-05-05,424.54998779296875,425.0,409.44000244140625,413.80999755859375,406.9158020019531,172929100
2022-05-06,411.1000061035156,414.79998779296875,405.7300109863281,411.3399963378906,404.4869689941406,151770800
2022-05-09,405.1000061035156,406.4100036621094,396.5,398.1700134277344,391.53643798828125,155586100
2022-05-10,404.489990234375,406.0799865722656,394.82000732421875,399.0899963378906,392.4410705566406,132497200
2022-05-11,398.07000732421875,404.0400085449219,391.9599914550781,392.75,386.20672607421875,142361000
2022-05-12,389.3699951171875,395.79998779296875,385.1499938964844,392.3399963378906,385.80352783203125,125090800
2022-05-13,396.7099914550781,403.17999267578125,395.6099853515625,401.7200012207031,395.0272521972656,104174400
2022-05-16,399.9800109863281,403.9700012207031,397.6000061035156,400.0899963378906,393.42437744140625,78622400
2022-05-17,406.5299987792969,408.57000732421875,402.5799865722656,408.32000732421875,401.517333984375,83029700
2022-05-18,403.5,403.79998779296875,390.54998779296875,391.8599853515625,385.3315124511719,117674500
2022-05-19,388.6199951171875,394.1400146484375,387.1099853515625,389.4599914550781,382.97149658203125,98510700
2022-05-20,393.25,397.0299987792969,380.5400085449219,389.6300048828125,383.138671875,131432200
